a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acpi_call 1.1.0-93
acpid 2.0.28-1
adwaita-icon-theme 3.26.1-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
antergos-alerts 17.11.18-1
antergos-common-meta 1.1-1
antergos-desktop-settings 1.5-1
antergos-gnome-defaults-list 1.0-1
antergos-gnome-meta 1.0-1
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20170930-1
antergos-wallpapers 0.7-2
antergos-wallpapers-deepin 0.3-3
antergos-wallpapers-extra 0.3-2
apm 1.19.0-1
appstream-glib 0.7.4-1
archlinux-appstream-data 20171217-1
archlinux-keyring 20171213-1
argon2 20171227-2
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
atom 1.23.2-1
attr 2.4.47-3
autoconf 2.69-4
autoconf-archive 1:2017.09.28-1
automake 1.15.1-1
avahi 0.7-2
b43-fwcutter 019-1
babl 0.1.38-1
baobab 3.26.1-1
bash 4.4.012-2
bash-completion 2.7-2
bc 1.07.1-1
bind-tools 9.11.2-3
binutils 2.29.1-2
bison 3.0.4-3
bleachbit 1.12-1
blueman 2.0.5-1
bluez 5.48-1
bluez-libs 5.48-1
bluez-utils 5.48-1
boost-libs 1.66.0-1
bower 1.8.2-1
brasero 3.12.2-2
brightness-controller r109.44b9cf8-1
btrfs-progs 4.14-2
bubblewrap 0.2.0-1
bzip2 1.0.6-6
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cairo 1.15.10-1
cairo-perl 1.106-5
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
caribou 0.4.21+0+g36e3d0f-2
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.26.0-1
chromaprint 1.4.2-1
chromium 63.0.3239.132-2
cifs-utils 6.7-2
clamav 0.99.2-7
